Pays;A2000;A2001;A2002;A2003;A2004;A2005;A2006;A2007;A2008;A2009;A2010;A2011;A2012;A2013;A2014;A2015
Turkey;17.27;18.11;17.46;16.28;16.77;15.3;14.25;12.48;12.42;13.33;14.33;12.78;12.83;13.85;11.61;13.37
Turkmenistan;0.09;0.09;0.09;0.08;0.08;0.07;0.09;0.07;0.07;0.08;0.07;0.07;0.04;0.04;0.04;0.04
Turks and Caicos Islands;0.69;0.68;0.6;0.59;0.6;0.54;0.52;0.5;0.5;0.53;0.52;0.59;0.59;0.6;0.58;0.57
Uganda;93.91;94.15;94.32;94.23;93.92;92.81;92.42;92.31;92.28;92.44;91.61;91.09;91.27;90.75;90.22;89.06
UK;0.96;0.85;0.97;0.93;1.14;1.35;1.55;1.84;2.78;3.38;3.64;4.4;4.75;6.02;7.4;8.71
Ukraine;1.25;1.23;1.03;0.97;1.19;1.25;1.73;2.39;2.72;2.96;2.88;2.74;2.86;3.49;3.5;4.14
United Arab Emirates;0.08;0.06;0.07;0.07;0.1;0.11;0.12;0.11;0.11;0.11;0.11;0.11;0.1;0.11;0.15;0.14
Uruguay;38.8;40.95;43.04;43.11;38.32;39.91;35.66;41.46;43.28;45.29;52.82;48.84;46.92;50.75;55.39;58.02
USA;5.43;4.68;4.84;5.33;5.48;5.84;6.4;6.3;6.85;7.35;7.51;8.16;8.48;8.71;8.75;8.72
Uzbekistan;1.22;1.22;1.19;1.53;1.85;1.86;1.93;1.35;2.33;2.22;2.64;2.25;2.38;2.87;2.9;2.97
Vanuatu;48.65;47.42;51.92;50.45;64.06;64.26;69.57;42.25;47.6;38.78;38.38;36.64;40.31;42.57;32.14;36.11
Venezuela;14.66;13.39;12.88;12.96;13.76;13.5;15.44;16.52;13.4;13.65;11.44;13.53;12.24;14.42;12.32;12.84
Vietnam;57.96;56.36;52.41;51.02;45.99;44.36;44.46;42.1;39.46;37.17;34.8;36.53;38.11;37.39;37.04;35
Virgin Islands, US;;;;;;;;;;;;0.34;0.97;1.65;2.76;3.88
